company,year,e,s,ec,sc,i,gdpc,ffr
apple,2022,50672,1.558.212,-19.682.993,11.459.209,77,26,146
apple,2021,63090,1.398.011,-3.442.048,48.858.389,47,567,8
apple,2020,65339,939.155,-27.792.636,85.232.192,123,-34,36
apple,2019,90488,507.015,-15.547.799,11.902.103,181,229,216
apple,2018,107147,453.088,-20.067.588,27.492.874,244,292,179
apple,2017,134047,355.383,4.520.893,46.644.632,213,226,1
apple,2016,128249,242.343,745.172,-11.053.406,126,167,39
apple,2015,119355,272.459,699.974,32.320.103,12,271,13
apple,2014,111547,205.909,-9.714.364,39.952.286,162,229,9
apple,2013,123549,147.128,4.516.538,-16.298.492,146,184,11
apple,2012,118210,175.777,54.290.935,58.640.638,207,228,14
apple,2011,76615,11.0802,60.312.611,40.085.466,316,155,1
apple,2010,47791,7.9096,51.046.144,76.988.141,164,271,18
apple,2009,31640,4.469,#­DIV/0!,#­DIV/0!,-36,-26,16
gm,2021,65815,556.317,32.485.859,83.772.186,47,567,8
gm,2020,49677,302.721,8.094.523,-16.122.159,123,-34,36
gm,2019,45957,360.907,7.433.901,3.592.515,181,229,216
gm,2018,42777,348.391,18.168.508,4.373.369,244,292,179
gm,2017,36200,333.793,-17.867.272,25.515.818,213,226,1
gm,2016,44075,265.937,9.304.863,-4.360.882,126,167,39
gm,2015,40323,278.063,11.933.711,2.986.296,12,271,13
gm,2014,36024,27,-16.560.893,4.691.741,162,229,9
gm,2013,43174,25.79,16.686.487,42.691.948,146,184,11
gm,2012,37000,180.739,-5.106.307,-16.869.886,207,228,14
gm,2011,38991,217.417,4.930.165,-17.880.547,316,155,1
gm,2010,37159,264.757,#­DIV/0!,#­DIV/0!,164,271,18
blackrock,2021,37806,8.200.894,6.996.094,54.856.156,47,567,8
blackrock,2020,35334,5.295.814,5.120.043,28.105.637,123,-34,36
blackrock,2019,33613,4.133.943,363.827,-6.920.701,181,229,216
blackrock,2018,32433,4.441.313,183.685,18.769.786,244,292,179
blackrock,2017,31848,373.943,9.255.575,24.076.831,213,226,1
blackrock,2016,29150,3.013.802,1.994.402,3.552.738,126,167,39
blackrock,2015,28580,2.910.403,3.983.991,11.344.554,12,271,13
blackrock,2014,27485,2.613.871,3.264.953,21.503.341,162,229,9
blackrock,2013,26616,2.151.275,4.029.705,50.447.333,146,184,11
blackrock,2012,25585,1.429.919,1.246.537,6.925.101,207,228,14
blackrock,2011,25270,1.337.309,-4.018.535,1.659.626,316,155,1
blackrock,2010,26328,1.315.477,7.229.259,662.514,164,271,18
blackrock,2009,24553,123.374,#­DIV/0!,#­DIV/0!,-36,-26,16
meta,2021,124879,3.211.662,-265.882,36.928.147,47,567,8
meta,2020,128290,2.345.509,26.951.927,29.131.319,123,-34,36
meta,2019,101054,1.816.375,2.012.077,5.904.348,181,229,216
meta,2018,84127,1.715.109,13.154.532,9.538.295,244,292,179
meta,2017,74347,1.565.762,25.598.878,33.785.676,213,226,1
meta,2016,59194,1.170.351,3.386.856,31.838.003,126,167,39
