company,year,e,v,e.,e..,s.,s..,i,r,p.,s,y
aapl,2022,63090,0.103239246,-0.034420484,-0.876152501,0.471376123,7,0.0704,0.0008,0.056711,155,0.100986014
aapl,2021,65339,0.230111829,-0.277926355,0.787560787,0.830245307,-0.579473011,0.0136,0.0036,-0.034046,141,0.471376123
aapl,2020,90488,0.158486412,-0.155477988,-0.225228332,0.106196616,-0.435050632,0.0229,0.0216,0.022889,96,0.830245307
aapl,2019,107147,0.108331885,-0.200675882,-5,0.252532224,-4,0.0191,0.0179,0.029189,52,0.106196616
aapl,2018,134047,0.091213022,0.04520893,-0.393308772,0.446999745,-1,0.0211,0.01,0.022557,47,0.252532224
aapl,2017,128249,0.073283974,0.074517197,0.064570918,-0.130694292,-0.257768866,0.0207,0.0039,0.016675,38,0.446999745
aapl,2016,119355,0.065486623,0.0699974,-2,0.287859645,-3,0.0073,0.0013,0.027064,26,-0.130694292
aapl,2015,111547,0.143091307,-0.097143643,-3,0.387830194,-1,0.0076,0.0009,0.022878,30,0.287859645
aapl,2014,123549,0.094675455,0.045165384,-0.91680861,-0.188046958,0.505537343,0.015,0.0011,0.018419,23,0.387830194
aapl,2013,118210,0.109369837,0.542909352,-0.099841076,0.600906111,-0.49216969,0.0174,0.0014,0.022807,17,-0.188046958
aapl,2012,76615,0.070691929,0.603126112,,0.399130658,-2,0.0296,0.001,0.015499,21,0.600906111
aapl,2011,47791,0.141197683,0.510461441,,0.785952809,-5,0.015,0.0018,0.027089,13,0.399130658
aapl,2010,31640,0.269798556,,,-0.969062512,-0.532042558,0.0272,0.0016,-0.025999,9,0.785952809
aapl,2009,138245,0.047500075,,,0.237867324,5,0.0009,0.0192,0.001222,5,-0.969062512
amzn,2021,93404,0.199791288,0.50505962,0.188203845,0.508309737,-0.879221947,0.0136,0.0036,-0.034046,168,0.237867324
amzn,2020,62060,0.054294191,0.425061425,-0.256437688,0.08461381,0.81273212,0.0229,0.0216,0.022889,135,0.508309737
amzn,2019,43549,0.114654849,0.571655419,0.308686462,0.700572728,-0.145973166,0.0191,0.0179,0.029189,90,0.08461381
amzn,2018,27709,0.106947616,0.436816178,-0.009261527,0.38647339,-0.016314588,0.0211,0.01,0.022557,83,0.700572728
amzn,2017,19285,0.132857621,0.440899582,0.791790543,0.452530734,3,0.0207,0.0039,0.016675,49,0.38647339
amzn,2016,13384,0.224709892,0.246066474,1,0.460036032,-0.702928717,0.0073,0.0013,0.027064,35,0.452530734
amzn,2015,10741,0.078777429,0.102093166,-0.461810026,0.10512421,2,0.0076,0.0009,0.022878,24,0.460036032
amzn,2014,9746,0.141968402,0.189697266,2,0.353868638,-0.70263659,0.015,0.0011,0.018419,17,0.10512421
amzn,2013,8192,0.116519911,0.056078381,-0.56895632,0.122910805,-0.29193212,0.0174,0.0014,0.022807,15,0.353868638
amzn,2012,7757,0.098338996,0.130099068,,0.413335337,-2,0.0296,0.001,0.015499,11,0.122910805
amzn,2011,6864,0.150190001,0.305687655,,0.583751005,-4,0.015,0.0018,0.027089,10,0.413335337
amzn,2010,5257,0.26795282,,,-0.999989291,-24,0.0272,0.0016,-0.025999,7,0.583751005
amzn,2009,514930,0.069058558,,,0.334405784,-2,0.0009,0.0192,0.001222,4,-0.999989291
brk.a,2021,451336,0.096716013,0.053138045,-0.753741492,-0.014608143,-0.878683581,0.0136,0.0036,-0.034046,410.840,0.334405784
brk.a,2020,428563,0.036636141,0.21578156,138,0.019988739,-0.309484178,0.0229,0.0216,0.022889,307.882,-0.014608143
brk.a,2019,352500,0.043633134,0.001551339,-0.993344022,0.164765324,26,0.0191,0.0179,0.029189,312446.49,0.019988739
brk.a,2018,351954,0.06018997,0.233074541,1,0.238611945,-0.881316112,0.0211,0.01,0.022557,306.323,0.164765324
brk.a,2017,285428,0.053306808,0.103628005,0.614384816,0.008905776,-0.590614167,0.0207,0.0039,0.016675,262.992,0.238611945
brk.a,2016,258627,0.043039406,0.064190399,-0.222857209,0.075037787,-0.443212413,0.0073,0.0013,0.027064,212.328,0.008905776
brk.a,2015,243027,0.083225085,0.082597946,-0.518959925,0.18329356,4,0.0076,0.0009,0.022878,210.453,0.075037787
brk.a,2014,224485,0.064670894,0.171706996,0.282175533,0.32919836,14,0.015,0.0011,0.018419,195.764,0.18329356
brk.a,2013,191588,0.046957937,0.133918478,3,0.068410371,-0.980959655,0.0174,0.0014,0.022807,165.440,0.32919836
brk.a,2012,168961,0.061825313,0.036990438,,0.004530643,-0.999681229,0.0296,0.001,0.015499,124.466,0.068410371
brk.a,2011,162934,0.069360258,0.199941083,,0.23794963,1.142,0.015,0.0018,0.027089,116.496,0.004530643
brk.a,2010,135785,0.078894318,,,746,1,0.0272,0.0016,-0.025999,115.971,0.23794963
brk.a,2009,251635,0.147361324,,,0.653189584,2,0.0009,0.0192,0.001222,93.680,746
goog,2021,222544,0.135498674,0.104754718,-0.218637309,0.267083843,-0.619700142,0.0136,0.0036,-0.034046,125,0.653189584
goog,2020,201442,0.070547884,0.134066701,-0.186283528,0.076824945,-0.168834301,0.0229,0.0216,0.022889,76,0.267083843
